id,geo_point_2d,geo_shape,zona
0,"19.4975752724,-99.0664752015","{""type"": ""Polygon"", ""coordinates"": [[[-99.0656045370575, 19.49483952003313], [-99.06796924928139, 19.494940189138443], [-99.06808196940733, 19.498393032712354], [-99.06832025017934, 19.499089188015624], [-99.0685162466274, 19.500093192047274], [-99.06869337789267, 19.500610676514547], [-99.06842500006925, 19.500508910595745], [-99.06809194980738, 19.500382620589733], [-99.0673436300202, 19.500098850647433], [-99.06694702034282, 19.49994843045771], [-99.06597888013633, 19.499581290086798], [-99.0653048200143, 19.499325680379716], [-99.06521203034112, 19.499290489990532], [-99.06462999952414, 19.49906977017584], [-99.06386253976753, 19.498778710381355], [-99.06420527977446, 19.49800368020887], [-99.0643096604153, 19.497767650568505], [-99.0643218201884, 19.497740170311413], [-99.06465331987123, 19.496990520250097], [-99.06470728979426, 19.496868479900446], [-99.06484454977016, 19.49655809052935], [-99.06496125008465, 19.496294230266823], [-99.06511870974363, 19.49593814035629], [-99.06522652017009, 19.495694350756494], [-99.06525276995403, 19.495634980661254], [-99.06527148006766, 19.495592680524435], [-99.065448490386, 19.495192370087285], [-99.06552399953905, 19.495021650020668], [-99.0656045370575, 19.49483952003313]]]}",Cuadrante 2
1,"19.2846135515,-99.0261544918","{""type"": ""Polygon"", ""coordinates"": [[[-99.05327629751679, 19.311493496853245], [-99.05226331979262, 19.310760520408813], [-99.05205004992968, 19.311033660020815], [-99.05173725911688, 19.311415249818705], [-99.05121409805209, 19.3113886512653], [-99.04903873155217, 19.31119519450269], [-99.04799876632998, 19.310857718508963], [-99.04720389334493, 19.310385868513087], [-99.04660235481477, 19.309593094545725], [-99.04542928363446, 19.30789226431662], [-99.04442689118801, 19.307083109198164], [-99.04386783303401, 19.306939822914522], [-99.04330921554778, 19.307278593032706], [-99.04316724767024, 19.307142191059345], [-99.04269813161339, 19.30650935432326], [-99.04176724786012, 19.306142191708812], [-99.04135728650948, 19.305864285908132], [-99.03804405369007, 19.307236991294197], [-99.03501592934155, 19.308796927436244], [-99.03466058202021, 19.308427079446226], [-99.03361397620398, 19.308124198572955], [-99.03314398061016, 19.30828506210594], [-99.03170931283448, 19.307253251036734], [-99.03049019636538, 19.307228373090982], [-99.02949666673773, 19.307740189857906], [-99.02839307717869, 19.306717337834918], [-99.02674129507464, 19.30487424744856], [-99.02579110017908, 19.304153251071735], [-99.0239383654631, 19.303293974037764], [-99.0218939321592, 19.302675321408998], [-99.02033616877907, 19.302447684113318], [-99.01996924988094, 19.302440189163413], [-99.01506924964606, 19.302340189048557], [-99.0140936147285, 19.30156667855939], [-99.01270721356696, 19.300059501145043], [-99.01206724790508, 19.299042191643878], [-99.01136392680372, 19.297730252549176], [-99.00991685647766, 19.29853918823304], [-99.00967098272963, 19.298544192960247], [-99.0093672475004, 19.297842191164268], [-99.0091692248797, 19.297340141034706], [-99.00892191041773, 19.297345194325295], [-99.00876924960112, 19.295940189787952], [-99.00866724759535, 19.295242191773816], [-99.00852176426801, 19.293903226252958], [-99.00708900035701, 19.294874442801387], [-99.00644073395263, 19.29520840244585], [-99.00530125604809, 19.295701419784727], [-99.00390526001962, 19.29610539974452], [-99.00229861938566, 19.296340189348275], [-99.00000797059137, 19.296234867045573], [-98.99856924957119, 19.295940189787956], [-98.99693084578183, 19.29583996933913], [-98.99620699405749, 19.294964945176137], [-98.9956195667895, 19.29457981320786], [-98.99462881966427, 19.293183207439146], [-98.99336251127086, 19.29204831967431], [-98.99236346340304, 19.29088996949658], [-98.99151317059629, 19.289538284863998], [-98.99088790165531, 19.288141532505787], [-98.9905754259151, 19.286443094473253], [-98.99054129574415, 19.284770877973674], [-98.99073975723397, 19.28314670775438], [-98.9911512564253, 19.28168782123603], [-98.99143655914986, 19.280964481225833], [-98.9922313592897, 19.279421634900554], [-98.9919313346633, 19.278545121460244], [-98.99206954247536, 19.278141336653402], [-98.99168257948737, 19.276631425300035], [-98.99156700311464, 19.27584043378899], [-98.99167330208115, 19.275738309475454], [-98.99165350260701, 19.274768217079615], [-98.99324027002235, 19.274411283354105], [-98.99546614874367, 19.274193582667735], [-98.99547320482446, 19.2738483922895], [-98.99517325304309, 19.273536185446634], [-98.99372298472788, 19.27214280194881], [-98.99270098796015, 19.2707959511723], [-98.99241422023998, 19.270239261832515], [-98.99308565587829, 19.269054935636827], [-98.9937246205947, 19.268192997508933], [-98.99416924991091, 19.267642191533966], [-98.99431224301556, 19.267201517436135], [-98.99471224257587, 19.266785184388805], [-98.99512025059897, 19.26639319239199], [-98.99542584112963, 19.266075126465942], [-98.9966115342948, 19.265175418610713], [-98.99736724720064, 19.264740189907943], [-98.99811653984635, 19.264315385246896], [-98.99731317006668, 19.2630382849889], [-98.99675606613943, 19.26179380314155], [-98.99648524070128, 19.261002616477633], [-98.99626968939458, 19.260161503051], [-98.99626336536191, 19.259852103891546], [-98.99681068016872, 19.25893010633937], [-98.99746187656429, 19.25789492551049], [-98.99763257957983, 19.25667219646475], [-98.99805286784553, 19.25518205940451], [-98.99843375141644, 19.2543969764393], [-99.00020879999602, 19.253983988870083], [-99.00136924919143, 19.25384219186369], [-99.00159327301111, 19.252369046594268], [-99.00186924976597, 19.25114219145901], [-99.00196724709072, 19.25004018920343], [-99.00224019672767, 19.249777933404925], [-99.00205936194992, 19.24942688394361], [-99.00207127616842, 19.24884270412753], [-99.00161910333884, 19.24828252361959], [-99.00194395644833, 19.247970413903563], [-99.00119725205151, 19.246986356834935], [-99.0003212512247, 19.245541825295035], [-98.99977449849423, 19.24409709860227], [-98.9997275745679, 19.24179819762877], [-98.99995526042686, 19.240399613351496], [-99.00015621213937, 19.239575223717605], [-99.00044534777454, 19.2388421917138], [-99.00151202286148, 19.239340434113753], [-99.00310013296472, 19.240381644897038], [-99.0047072376488, 19.241925712501654], [-99.00496651489266, 19.242429032473932], [-99.00525736013896, 19.2436220739996], [-99.00584815536803, 19.244523148824307], [-99.00681336534453, 19.245302323243692], [-99.00739175892245, 19.245694388984898], [-99.00936580678645, 19.246944730814704], [-99.01013015947915, 19.247679095613805], [-99.00980424966632, 19.24826454976918], [-99.00977045044583, 19.248483019375858], [-99.00971471945873, 19.248729720500283], [-99.0096004794785, 19.249070879217726], [-99.0095083493308, 19.249361910623726], [-99.0095050901877, 19.249371629597086], [-99.00950206037176, 19.24938067947482], [-99.00935217036638, 19.249694519486482], [-99.00920888947859, 19.2499950297469], [-99.00906525965394, 19.2502969798218], [-99.0088829095186, 19.25067508988355], [-99.00882197055742, 19.25067862961508], [-99.00865254997515, 19.250767679584783], [-99.00843867950137, 19.250693829956326], [-99.00826497994478, 19.250727999697407], [-99.00794691941468, 19.250546030874645], [-99.00768953974041, 19.251023919818085], [-99.00750554924164, 19.250779140544964], [-99.00728354979589, 19.251177430494074], [-99.00704476990012, 19.251605879208007], [-99.00761871902861, 19.252169290080715], [-99.00776654958653, 19.25231542991322], [-99.00813048993008, 19.252717890018637], [-99.0083448496351, 19.25294483033967], [-99.00858116988495, 19.25319545970271], [-99.0092407992234, 19.253926770404213], [-99.00981231028987, 19.25448822974803], [-99.00985796976946, 19.254533079837806], [-99.01069337969565, 19.255341680074526], [-99.01082527966287, 19.25546648978669], [-99.01090594345445, 19.25552092575016], [-99.01121004560706, 19.257257743250296], [-99.01155350209234, 19.258316190439835], [-99.01215425911175, 19.25923247459905], [-99.01307576833199, 19.259707181741092], [-99.01418804803995, 19.259896903619293], [-99.01632198637053, 19.25985336024444], [-99.01638882038772, 19.259894290189383], [-99.01651511937719, 19.259955450383803], [-99.0165685696837, 19.259980030653885], [-99.01727229008404, 19.26022135023518], [-99.01742204968777, 19.260269829988726], [-99.01757123012804, 19.260321969982915], [-99.01794462954093, 19.26045868042384], [-99.01867408943761, 19.260743660291716], [-99.01890777917059, 19.2608325501821], [-99.0189917695545, 19.260864489604582], [-99.01907427965423, 19.2608951393992], [-99.01930435051526, 19.260975969565404], [-99.01974258025582, 19.26115074021455], [-99.0198253493603, 19.261029169860326], [-99.02005778004245, 19.260964109306226], [-99.02032634008849, 19.26091949034224], [-99.02051822033954, 19.26093459985197], [-99.02075239930376, 19.260957120674597], [-99.02103228990815, 19.261017310500524], [-99.02109503021141, 19.261030520642038], [-99.02130019974435, 19.261069380347717], [-99.02151164924314, 19.261115749392403], [-99.02175453994002, 19.261173829408758], [-99.02201160035503, 19.2612390203645], [-99.02253552019799, 19.26137239971651], [-99.02290094981898, 19.261460889408525], [-99.0234182434571, 19.261593649127654], [-99.02188609546684, 19.26299184939434], [-99.02082911237353, 19.263708305094262], [-99.01932300964914, 19.264484183498272], [-99.01856924917145, 19.26474219179878], [-99.01767271592301, 19.26503310989017], [-99.0166238393187, 19.26638852940715], [-99.01522335117669, 19.267666605429582], [-99.01412911276827, 19.26840830509918], [-99.01337425421839, 19.26879719623368], [-99.01226441527054, 19.269335623939917], [-99.01285391727437, 19.27069812381941], [-99.01336402443008, 19.27238381755912], [-99.0133771356462, 19.273026884083507], [-99.01325775064457, 19.27325862228769], [-99.01346724771521, 19.275102982516675], [-99.01329695928722, 19.276213651538846], [-99.01209810724177, 19.27728433040752], [-99.01051065544235, 19.278379228019034], [-99.0109122423061, 19.278797196033807], [-99.01218614367556, 19.280021146358898], [-99.01172747684154, 19.280911503063443], [-99.01186724767528, 19.28134219108931], [-99.01214324871188, 19.28214853942355], [-99.01235723789623, 19.282983573433217], [-99.01246924935631, 19.283640189143465], [-99.0126431260793, 19.285063236779017], [-99.01380738390357, 19.284274076287666], [-99.0145274278984, 19.283903129325978], [-99.01476761343459, 19.284643290255683], [-99.01535933766321, 19.284242191723788], [-99.01546924920636, 19.28454018927832], [-99.01587689120555, 19.28566892478108], [-99.01730826296586, 19.285254691650703], [-99.01829991390981, 19.285051566276852], [-99.02086924911654, 19.284942191628843], [-99.02112257015047, 19.283385990371208], [-99.0213014758823, 19.28283472034612], [-99.02196922519947, 19.28284834417582], [-99.0222137319781, 19.28234438838282], [-99.02367010399202, 19.28255723093147], [-99.02446026542883, 19.282088163438086], [-99.02475125636533, 19.280597660353756], [-99.02511148610614, 19.279487503945177], [-99.02546929846935, 19.27854209344294], [-99.02546321905218, 19.278244974526], [-99.02596924958114, 19.277642191334103], [-99.02651185194036, 19.27681460371105], [-99.02734332193667, 19.275765848515206], [-99.0287572135745, 19.274475565095283], [-99.03044302872269, 19.27341506745144], [-99.03182086114374, 19.272856181067958], [-99.03313123631744, 19.27247698192725], [-99.0347378769514, 19.272242191424034], [-99.03721382925474, 19.272356033903918], [-99.03870884873434, 19.272720487760346], [-99.03996812622799, 19.27318840771886], [-99.04116924906154, 19.27384018957313], [-99.04186644218248, 19.27426299234325], [-99.04256924977096, 19.274540189478184], [-99.04323819428717, 19.27481152753004], [-99.0435530424389, 19.274404666142438], [-99.04510004992733, 19.274864109990734], [-99.04732227919976, 19.275598599795625], [-99.0482869702674, 19.27597823061094], [-99.0505672597712, 19.277503479901725], [-99.0523715992698, 19.278481980059333], [-99.05387088063661, 19.279085749807578], [-99.05449832054099, 19.27936715037371], [-99.05478907945242, 19.279426770029502], [-99.05515968017497, 19.27945882006857], [-99.05607265932565, 19.27945637930853], [-99.05676295014997, 19.27950034986124], [-99.05760033948404, 19.27962888006878], [-99.05857541951994, 19.279909630425166], [-99.0596726292884, 19.280284949890543], [-99.06437017954005, 19.281992769650643], [-99.064645120276, 19.282113820196678], [-99.06831062023885, 19.28443926016375], [-99.06896675034268, 19.284955849825295], [-99.0688206200924, 19.285123510356698], [-99.06864201958085, 19.285328400142813], [-99.06856074996271, 19.285421650453305], [-99.06847717035866, 19.28551856978063], [-99.06829823003861, 19.285726120082906], [-99.06811895031065, 19.285934030594113], [-99.06808915039736, 19.285964770512376], [-99.06793405043338, 19.286125740419113], [-99.06777477982689, 19.286291029902987], [-99.0675715099401, 19.286501919833213], [-99.06737628972768, 19.286702319794017], [-99.06720185004755, 19.286881379751375], [-99.06705771041958, 19.28702933984133], [-99.06702022003758, 19.287066420272584], [-99.0667107499775, 19.287372520208294], [-99.0663658803983, 19.287713660274097], [-99.0661938003003, 19.287883880434553], [-99.0660302601508, 19.288045629878347], [-99.06596304968791, 19.288112110299334], [-99.06575837007128, 19.28831594], [-99.06569720021464, 19.288376850412014], [-99.06552130987315, 19.288552000058353], [-99.06535517970698, 19.28871754025919], [-99.06501482999315, 19.289060940259528], [-99.06494842030617, 19.28912794056022], [-99.06473062009584, 19.2893476600216], [-99.06439382960407, 19.28968746041191], [-99.0642726598686, 19.289809689981045], [-99.06416457007698, 19.289919450046973], [-99.06373674996334, 19.29035377044244], [-99.06353725963571, 19.290557629827013], [-99.06343305033373, 19.290664119789284], [-99.06338643037604, 19.29071237031606], [-99.06306765003694, 19.29104225031005], [-99.06282371017132, 19.291294710581756], [-99.06250632042996, 19.2916471403283], [-99.0620961402207, 19.292104399998603], [-99.06172361964703, 19.29251962027481], [-99.0616839101913, 19.292563880485773], [-99.06163166001024, 19.292663109932654], [-99.06161785004666, 19.29306956987267], [-99.06160130990264, 19.293556019763262], [-99.06156205019738, 19.294092249747326], [-99.06171915018791, 19.29421957026172], [-99.06197759997865, 19.29442495030199], [-99.0621273803249, 19.294822150546683], [-99.06234110988987, 19.295654779907427], [-99.06235248037453, 19.2956958000095], [-99.06240491031481, 19.295902430017897], [-99.06245517039261, 19.29610025987874], [-99.06251211016338, 19.296324420213836], [-99.06259448981757, 19.29671454005764], [-99.06260949044517, 19.29683465011412], [-99.0626204201416, 19.296991520518787], [-99.06264217036598, 19.29730399986217], [-99.06280238032471, 19.29760618011303], [-99.06296735022725, 19.29782602030176], [-99.0633992602214, 19.298401549995877], [-99.06360301982767, 19.29867306002447], [-99.0639454303143, 19.299480649842597], [-99.06438428981637, 19.30051237987326], [-99.06442211985015, 19.300604880420384], [-99.06458699996112, 19.30108665005932], [-99.06477743001906, 19.301643080448645], [-99.06450044982606, 19.302520429790803], [-99.06449010992503, 19.302549820033033], [-99.06434804998433, 19.30296316979688], [-99.06417316982927, 19.303480020489882], [-99.06403264997718, 19.30387895041213], [-99.06383114995116, 19.304452029976286], [-99.06371679974079, 19.304776249745633], [-99.0633996299446, 19.305684980117025], [-99.06266388971292, 19.305440780014045], [-99.06088555001831, 19.304858220319872], [-99.0604865400648, 19.30469020060031], [-99.05987129000954, 19.304440650298023], [-99.0584022796448, 19.306255570602023], [-99.05693008979681, 19.308056510116515], [-99.05620243036287, 19.30895085017657], [-99.0560974896494, 19.309079830354314], [-99.05577065028326, 19.309479689818964], [-99.05547997004089, 19.30983142987844], [-99.0553487995166, 19.30999451040876], [-99.0551885498157, 19.31019374986099], [-99.0551353397311, 19.310257230421975], [-99.05489939966778, 19.310538719792984], [-99.05465580034407, 19.31084316992236], [-99.05444764977074, 19.311080089895952], [-99.05420807998301, 19.311354490162017], [-99.05418528020289, 19.311381260409636], [-99.05405585227489, 19.311533130931576], [-99.05327629751679, 19.311493496853245]]]}",Cuadrante 3
2,"19.3941919173,-99.12439392","{""type"": ""Polygon"", ""coordinates"": [[[-99.12249721446851, 19.382198782564426], [-99.12255720009767, 19.381497940038102], [-99.12256263002539, 19.38131199996001], [-99.12259299952395, 19.380274659645657], [-99.12257647966577, 19.380107679806635], [-99.12258914953989, 19.378906710103298], [-99.12256597998784, 19.377720259524715], [-99.12253392025005, 19.375699510058734], [-99.1226636897038, 19.37573797031008], [-99.12316970949965, 19.37583677971056], [-99.12355425039655, 19.375900319620516], [-99.12398121984104, 19.375976709750912], [-99.12409434023978, 19.375999879775215], [-99.12440779995664, 19.376055139789464], [-99.12457970989713, 19.376096309635933], [-99.12501750969508, 19.376190889576876], [-99.12526669002183, 19.37623194008166], [-99.12543462955675, 19.376260710031186], [-99.12589265971916, 19.37632840029738], [-99.12597350972185, 19.37634185983469], [-99.12616888981475, 19.37637997021655], [-99.1263900204856, 19.376411369886263], [-99.12644471028256, 19.376422619886487], [-99.12666144976785, 19.37647214987993], [-99.12680136989835, 19.376498030379537], [-99.12724097003509, 19.3765676604599], [-99.1273237195466, 19.376579570059082], [-99.12744814034737, 19.37659836972375], [-99.12761598008832, 19.3766343497658], [-99.12782465991474, 19.376673779761873], [-99.12827865010904, 19.37675857028181], [-99.12836299948428, 19.376774220249708], [-99.12841352027431, 19.376784940247312], [-99.12910507944416, 19.37690563018633], [-99.12947758033216, 19.37697565966677], [-99.12953830959367, 19.37699313992543], [-99.12958050962428, 19.376998110138558], [-99.1296998595249, 19.37702913963771], [-99.13008173946393, 19.377067509960362], [-99.13019842942636, 19.377077970096668], [-99.13056877995845, 19.377114680318737], [-99.13084140025714, 19.37713975007479], [-99.1310699801757, 19.3771694903381], [-99.13140247954969, 19.37720277008106], [-99.13154984963808, 19.377215249865202], [-99.13200721954661, 19.377256200185407], [-99.1324484600303, 19.377302949854784], [-99.13287917048527, 19.37734971987029], [-99.13333142987021, 19.37739678047468], [-99.13385046009985, 19.37744833986033], [-99.13415140007308, 19.377480459914864], [-99.13503095049543, 19.377400519786292], [-99.13542468931503, 19.377306250152152], [-99.13548772001994, 19.377186979602538], [-99.13533201946449, 19.377960779568507], [-99.13499891958462, 19.379267580092126], [-99.13470645995638, 19.380580969651547], [-99.13456034987483, 19.381290749821293], [-99.13443579917104, 19.381967509417034], [-99.13439242015482, 19.38216999993099], [-99.13432412028587, 19.38250963042486], [-99.13420054912997, 19.38316369036413], [-99.13414516972058, 19.383414450187793], [-99.13392245970978, 19.384471139334103], [-99.13387619965195, 19.384663509631224], [-99.13363556966046, 19.38572711969196], [-99.13362542002574, 19.385771999525762], [-99.13357735030047, 19.38595968979975], [-99.13345437961705, 19.38646994993799], [-99.13341024997356, 19.386653149900475], [-99.1332158002502, 19.387490199389664], [-99.1330450892845, 19.388367540028824], [-99.13300602978015, 19.388563279383593], [-99.13287890980924, 19.38920633958672], [-99.13276284960122, 19.38973646023544], [-99.13271711984221, 19.389979619883054], [-99.13267409014125, 19.390186509811972], [-99.13239782013555, 19.39115720006904], [-99.13236151989557, 19.391311630035716], [-99.13210713956482, 19.392491829300617], [-99.13206476978824, 19.392662450285513], [-99.13204193961022, 19.392793379887603], [-99.13188468947793, 19.393547649543667], [-99.13186145926844, 19.393669800015896], [-99.13168837014211, 19.394523399633282], [-99.13165588949596, 19.39468267939111], [-99.13147713938746, 19.395552580107285], [-99.13143171996722, 19.39574565922993], [-99.13129176924477, 19.39627590936564], [-99.131163110293, 19.396540629981473], [-99.13103405945951, 19.396729229735413], [-99.1309671803839, 19.397637909988948], [-99.13094249039314, 19.39895431969144], [-99.13152224999266, 19.398960289454784], [-99.13186384951644, 19.398963829958497], [-99.13244602019388, 19.398986940605408], [-99.13294841938522, 19.399012979751003], [-99.13345126001488, 19.399023569984852], [-99.13404436921795, 19.39903479984509], [-99.13471297920799, 19.399070350115377], [-99.13526628978056, 19.399092079573965], [-99.13584330995575, 19.39911157959627], [-99.13631653965501, 19.39913728952548], [-99.13718231960691, 19.39920032018794], [-99.13705744954267, 19.399854770234985], [-99.13688647959779, 19.40092537008243], [-99.13682023011341, 19.401341970217885], [-99.13679462998267, 19.4015567200748], [-99.13658764923521, 19.40281181950052], [-99.13644191945336, 19.40281064952841], [-99.13625054920935, 19.40284222992253], [-99.13603939918976, 19.40291083023374], [-99.13587345002139, 19.403054649921277], [-99.13574982921341, 19.403196919813592], [-99.1356395801676, 19.403281050534197], [-99.13542121959613, 19.403362569824186], [-99.13516278030534, 19.403349779529584], [-99.13471909007527, 19.403322879873038], [-99.13429794927792, 19.403299180085302], [-99.13380022015387, 19.40326467948089], [-99.1332414597094, 19.403236830096304], [-99.13291245005325, 19.403213219358502], [-99.13273528974761, 19.403205619225716], [-99.1324989193194, 19.403191419756112], [-99.13218327973871, 19.40316270967922], [-99.13197556955892, 19.40314828008072], [-99.13161937957004, 19.40312510921603], [-99.13149833979332, 19.403118549470307], [-99.13111928002513, 19.403103060353914], [-99.13105721966606, 19.403105619939616], [-99.13085661962131, 19.403111110155635], [-99.13058844976602, 19.403130229699894], [-99.13052937981806, 19.403136290288806], [-99.13031099990418, 19.40316487974797], [-99.13003936973008, 19.403207569702204], [-99.12979125020668, 19.40326148962868], [-99.12950452026048, 19.40333899945302], [-99.12883521980729, 19.403545829893798], [-99.12831508979009, 19.403690510043077], [-99.12814357003943, 19.403741920028768], [-99.12792242947829, 19.40381071002638], [-99.12769508989565, 19.403876280333872], [-99.12751580004584, 19.403927399787698], [-99.12706414987223, 19.404067770248815], [-99.12647592025228, 19.404184599520146], [-99.12640447919965, 19.404196279924786], [-99.12569845989209, 19.404330680076153], [-99.12567127986969, 19.40433494966039], [-99.12393606041533, 19.404638419980465], [-99.12327482970304, 19.404767260145228], [-99.1222813401293, 19.404949450293614], [-99.1217201496108, 19.40503234039666], [-99.1216051497917, 19.405049979791315], [-99.12111723028922, 19.405141030401037], [-99.1210195802522, 19.40515329010362], [-99.120431749933, 19.405246550131146], [-99.12014612042638, 19.40529186013391], [-99.11966548954373, 19.405373890015294], [-99.11880973959818, 19.405516920236472], [-99.11721983046483, 19.405537829866148], [-99.11638051014263, 19.405543080048833], [-99.11555105968125, 19.405548290122894], [-99.11506718013432, 19.40555867990473], [-99.11457147967462, 19.4056154801106], [-99.11441688023871, 19.405650550221058], [-99.11385188009184, 19.40577875021346], [-99.11363440001097, 19.405809979939466], [-99.11356353999314, 19.40583947977253], [-99.1134819697511, 19.405865720327863], [-99.11319568956462, 19.40593930989457], [-99.11283845993401, 19.406010219646863], [-99.11218972036228, 19.406138949622783], [-99.11015321988309, 19.40654322014322], [-99.10739123024226, 19.407117339962728], [-99.10637133577286, 19.40732830377972], [-99.10648898777644, 19.404889517737093], [-99.10669904692342, 19.404242191124347], [-99.10749841202198, 19.40440879233192], [-99.10797125127223, 19.404638186902815], [-99.10818955000767, 19.404865408711743], [-99.10863387355433, 19.40472121950868], [-99.10886724762533, 19.404240189233416], [-99.10936924919143, 19.403542191219188], [-99.11024422479115, 19.402068228466003], [-99.11086794330086, 19.401419059142285], [-99.11169603184634, 19.400790713620623], [-99.11255757966849, 19.4001795325594], [-99.11386924896665, 19.398742191099323], [-99.1139844107519, 19.397682193478445], [-99.11425667600474, 19.396886759316533], [-99.11446876132418, 19.3961348055769], [-99.11477125099242, 19.395844193254955], [-99.1153119368963, 19.395019497851614], [-99.11592551195274, 19.3941917879207], [-99.11697613414118, 19.393098282459857], [-99.1178669054333, 19.392361404954897], [-99.11806633189568, 19.390729300017295], [-99.11857125086247, 19.390244193115088], [-99.11871824864815, 19.390091189656737], [-99.11893968421901, 19.39004648795511], [-99.11901824809361, 19.38989119032622], [-99.11918514248028, 19.389837027756684], [-99.12085518711717, 19.3889767003145], [-99.1225770372005, 19.388455667295283], [-99.12398408050085, 19.38825005259793], [-99.12486824807112, 19.38823201039899], [-99.12581824871317, 19.388251395285668], [-99.12638129715909, 19.388239908245193], [-99.12776447604973, 19.388475833692816], [-99.12777326512408, 19.388045169948676], [-99.12690046228643, 19.386963943830978], [-99.12728560684525, 19.38621631223301], [-99.12716724707074, 19.384942191429037], [-99.12706924884672, 19.383640188943655], [-99.12589409033994, 19.382324368374974], [-99.1255541978679, 19.38182292798577], [-99.12626724693588, 19.381640189343326], [-99.12755312367767, 19.38135792632725], [-99.12813779182562, 19.379649783710573], [-99.12747718402471, 19.378642191384106], [-99.12593679105002, 19.37874216631795], [-99.12514238121585, 19.379861990438574], [-99.12470755451001, 19.380314554473184], [-99.1244652456745, 19.379844192855263], [-99.12416186387891, 19.379218851069172], [-99.12336724720069, 19.38014018941825], [-99.12326442771115, 19.38171615327793], [-99.12249721446851, 19.382198782564426]]]}",Cuadrante 3
